7/5/2022 8:37:13 AM, PLC CONNECT NG
7/5/2022 8:37:14 AM, LOCK ON
7/5/2022 8:37:14 AM, FORM OPEN COMPLETED
7/5/2022 8:37:20 AM, LOAD TO PLC OK
7/5/2022 8:37:32 AM, MODEL SAVE OK
7/5/2022 8:37:34 AM, FORM CLOSED
7/5/2022 8:37:40 AM, MES ON
7/5/2022 8:37:43 AM, PLC CONNECT NG
7/5/2022 8:37:44 AM, LOCK ON
7/5/2022 8:37:44 AM, FORM OPEN COMPLETED
7/5/2022 8:38:05 AM, SCANNER#1 CONNECT NG
7/5/2022 8:38:05 AM, LOAD TO PLC OK
7/5/2022 8:38:15 AM, FORM CLOSED
7/5/2022 8:46:56 AM, MES ON
7/5/2022 8:46:59 AM, PLC CONNECT NG
7/5/2022 8:47:00 AM, LOCK ON
7/5/2022 8:47:00 AM, FORM OPEN COMPLETED
7/5/2022 8:47:04 AM, FORM CLOSED
7/5/2022 8:47:28 AM, MES ON
7/5/2022 8:47:30 AM, PLC CONNECT NG
7/5/2022 8:47:31 AM, LOCK ON
7/5/2022 8:47:31 AM, FORM OPEN COMPLETED
7/5/2022 8:47:52 AM, SCANNER#1 CONNECT NG
7/5/2022 8:48:13 AM, SCANNER#2 CONNECT NG
7/5/2022 8:48:49 AM, LOAD TO PLC OK
7/5/2022 8:53:58 AM, FORM CLOSED
7/5/2022 8:55:21 AM, MES ON
7/5/2022 8:55:24 AM, PLC CONNECT NG
7/5/2022 8:55:26 AM, LOCK ON
7/5/2022 8:55:26 AM, FORM OPEN COMPLETED
7/5/2022 8:55:47 AM, SCANNER#1 CONNECT NG
7/5/2022 8:56:08 AM, SCANNER#2 CONNECT NG
7/5/2022 9:18:40 AM, MES ON
7/5/2022 9:18:43 AM, PLC CONNECT NG
7/5/2022 9:18:44 AM, LOCK ON
7/5/2022 9:18:44 AM, FORM OPEN COMPLETED
7/5/2022 9:19:05 AM, SCANNER#1 CONNECT NG
7/5/2022 9:19:10 AM, FORM CLOSED
7/5/2022 9:20:47 AM, MES ON
7/5/2022 9:20:50 AM, PLC CONNECT NG
7/5/2022 9:20:52 AM, LOCK ON
7/5/2022 9:20:52 AM, FORM OPEN COMPLETED
7/5/2022 9:21:02 AM, LOAD TO PLC OK
7/5/2022 9:21:13 AM, SCANNER#1 CONNECT NG
7/5/2022 9:21:20 AM, FORM CLOSED
7/5/2022 9:23:28 AM, MES ON
7/5/2022 9:23:30 AM, PLC CONNECT NG
7/5/2022 9:23:31 AM, LOCK ON
7/5/2022 9:23:31 AM, FORM OPEN COMPLETED
7/5/2022 9:23:38 AM, FORM CLOSED
7/5/2022 9:26:38 AM, MES ON
7/5/2022 9:26:41 AM, PLC CONNECT NG
7/5/2022 9:26:42 AM, LOCK ON
7/5/2022 9:26:42 AM, FORM OPEN COMPLETED
7/5/2022 9:27:03 AM, SCANNER#1 CONNECT NG
7/5/2022 9:27:24 AM, SCANNER#2 CONNECT NG
7/5/2022 9:31:26 AM, FORM CLOSED
7/5/2022 9:34:28 AM, MES ON
7/5/2022 9:34:31 AM, PLC CONNECT NG
7/5/2022 9:34:32 AM, LOCK ON
7/5/2022 9:34:32 AM, FORM OPEN COMPLETED
7/5/2022 9:34:53 AM, SCANNER#1 CONNECT NG
7/5/2022 9:35:09 AM, LOAD TO PLC OK
7/5/2022 9:35:14 AM, SCANNER#2 CONNECT NG
7/5/2022 9:35:51 AM, MODEL SAVE OK
7/5/2022 9:45:54 AM, MODEL SAVE OK
7/5/2022 9:46:14 AM, SAVE AS NEW MODEL OK
7/5/2022 9:48:14 AM, FORM CLOSED
7/5/2022 10:14:19 AM, MES ON
7/5/2022 10:14:19 AM, PLC CONNECT OK
7/5/2022 10:14:21 AM, LOCK ON
7/5/2022 10:14:21 AM, SCANNER#1 CONNECT OK
7/5/2022 10:14:21 AM, SCANNER#2 CONNECT OK
7/5/2022 10:14:21 AM, FORM OPEN COMPLETED
7/5/2022 10:15:25 AM, MES SETTING CHANGE
7/5/2022 10:15:26 AM, MES SETTING CHANGE
7/5/2022 10:15:48 AM, MES SETTING CHANGE
7/5/2022 10:15:48 AM, MES SETTING CHANGE
